day,date,day_of_week,player_slot,rank,player,team,final_score,bpm
43,2026-01-02,Friday,2,53,Isaiah Hartenstein,OKC,12.801726036159463,4.0
43,2026-01-02,Friday,3,33,Alperen Şengün,HOU,14.876654699302646,5.8
43,2026-01-02,Friday,4,51,Jalen Johnson,ATL,12.98263193114096,5.8
43,2026-01-02,Friday,5,42,Mark Williams,PHO,13.985073135855735,1.6
44,2026-01-03,Saturday,1,6,Luka Dončić,LAL,18.88361703282677,9.4
44,2026-01-03,Saturday,2,67,Onyeka Okongwu,ATL,11.98586603848172,0.6
44,2026-01-03,Saturday,3,24,Jonas Valančiūnas,DEN,16.0481349433251,-0.7
44,2026-01-03,Saturday,4,58,Brandon Ingram,TOR,12.50288776681288,0.0
44,2026-01-03,Saturday,5,62,Craig Porter Jr.,CLE,12.187539162295428,3.9
45,2026-01-04,Sunday,1,35,Jaylen Brown,BOS,14.663179173614845,2.8
45,2026-01-04,Sunday,2,64,Jalen Smith,CHI,12.09417581144434,1.0
45,2026-01-04,Sunday,3,38,Nic Claxton,BRK,14.260940250658692,2.5
45,2026-01-04,Sunday,4,45,Reed Sheppard,HOU,13.655531913730448,6.2
45,2026-01-04,Sunday,5,49,Dillon Brooks,PHO,13.419430251690171,0.0
46,2026-01-05,Monday,1,35,Jaylen Brown,BOS,14.663179173614845,2.8
46,2026-01-05,Monday,2,45,Reed Sheppard,HOU,13.655531913730448,6.2
46,2026-01-05,Monday,3,61,Pascal Siakam,IND,12.203317160574596,2.5
46,2026-01-05,Monday,4,73,Austin Reaves,LAL,11.059309816182452,4.4
46,2026-01-05,Monday,5,70,Devin Booker,PHO,11.819089202745657,1.1
47,2026-01-06,Tuesday,1,68,Kevin Durant,HOU,11.9668154548967,1.3
47,2026-01-06,Tuesday,2,44,OG Anunoby,NYK,13.694725707080856,2.2
47,2026-01-06,Tuesday,3,63,Jimmy Butler,GSW,12.128440537046185,6.1
47,2026-01-06,Tuesday,4,71,Marvin Bagley III,WAS,11.679061601053355,0.5
47,2026-01-06,Tuesday,5,73,Austin Reaves,LAL,11.059309816182452,4.4
48,2026-01-07,Wednesday,1,68,Kevin Durant,HOU,11.9668154548967,1.3
48,2026-01-07,Wednesday,2,71,Marvin Bagley III,WAS,11.679061601053355,0.5
48,2026-01-07,Wednesday,3,56,Peyton Watson,DEN,12.575402261311496,-0.2
48,2026-01-07,Wednesday,4,58,Brandon Ingram,TOR,12.50288776681288,0.0
48,2026-01-07,Wednesday,5,57,Moussa Diabaté,CHO,12.551416683862708,1.2
49,2026-01-08,Thursday,1,55,Bam Adebayo,MIA,12.594119837773642,2.5
49,2026-01-08,Thursday,2,66,Norman Powell,MIA,12.010869026867288,5.2
49,2026-01-08,Thursday,3,61,Pascal Siakam,IND,12.203317160574596,2.5
49,2026-01-08,Thursday,4,62,Craig Porter Jr.,CLE,12.187539162295428,3.9
49,2026-01-08,Thursday,5,24,Jonas Valančiūnas,DEN,16.0481349433251,-0.7
50,2026-01-09,Friday,1,56,Peyton Watson,DEN,12.575402261311496,-0.2
50,2026-01-09,Friday,2,57,Moussa Diabaté,CHO,12.551416683862708,1.2
50,2026-01-09,Friday,3,69,Lauri Markkanen,UTA,11.893360191139584,3.8
50,2026-01-09,Friday,4,66,Norman Powell,MIA,12.010869026867288,5.2
50,2026-01-09,Friday,5,46,Paolo Banchero,ORL,13.654644489304928,2.5
